2025-06-11 16:16:24 2025-06-11 13:16:24,126 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [commit] got false for condition: [statusId][equals][INVOICE_CANCELLED][true][String]
2025-06-11 16:16:24 2025-06-11 13:16:24,126 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [commit] got false for condition: [statusId][equals][INVOICE_APPROVED][true][String]
2025-06-11 16:16:24 2025-06-11 13:16:24,127 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [commit] got false for condition: [oldStatusId][not-equals][INVOICE_PAID][true][String]
2025-06-11 16:16:24 2025-06-11 13:16:24,128 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| Running Service ECA Service: loadSalesInvoiceFact, triggered by rule on Service: setInvoiceStatus
2025-06-11 16:16:24 2025-06-11 13:16:24,139 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| For Service ECA [setInvoiceStatus] on [return] got false for condition: [oldStatusId][equals][INVOICE_IN_PROCESS][true][String]
2025-06-11 16:16:24 2025-06-11 13:16:24,139 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/setInvoiceStatus] finished in [167] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,141 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,145 |jsse-nio-8443-exec-6 |CommonPermissionServices      |I| Checking for alternate permission ACCOUNTING_ROLE_UPDATE
2025-06-11 16:16:24 2025-06-11 13:16:24,146 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [3] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,149 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgInvoicePermissionCheck] finished in [8] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,150 |jsse-nio-8443-exec-6 |ServiceEcaRule                |I| Running Service ECA Service: revertAcctgTransOnRemovePaymentApplications, triggered by rule on Service: removePaymentApplication
2025-06-11 16:16:24 2025-06-11 13:16:24,247 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,251 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [2] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,251 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [5] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,260 |jsse-nio-8443-exec-6 |SequenceUtil                  |W| Lock failed; no sequence row was found, will try to add a new one for sequence: AcctgTrans
2025-06-11 16:16:24 2025-06-11 13:16:24,278 |jsse-nio-8443-exec-6 |SequenceUtil                  |I| Got bank of sequenced IDs for [AcctgTrans]; curSeqId=10000, maxSeqId=10010, bankSize=10
2025-06-11 16:16:24 2025-06-11 13:16:24,307 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createAcctgTrans] finished in [61] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,332 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,335 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [3] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,336 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [7] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,344 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,354 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [10] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,356 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgPrefPermissionCheck] finished in [14] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,589 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/getPartyAccountingPreferences] finished in [249] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,603 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/createAcctgTransEntry] finished in [275] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,605 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,607 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [1] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,608 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/acctgTransactionPermissionCheck] finished in [4] milliseconds
2025-06-11 16:16:24 2025-06-11 13:16:24,616 |jsse-nio-8443-exec-6 |Log                           |W| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2025-06-11 16:16:24 2025-06-11 13:16:24,618 |jsse-nio-8443-exec-6 |ServiceDispatcher             |T| Sync service [accounting/genericBasePermissionCheck] finished in [1] milliseconds
